jobNumber,StartTime,EndTime,JobLength,ElapsedTime
707,1/1/2020 12:00:00 AM,1/1/2020 1:47:38 AM,6018,6458,2230
89,1/1/2020 12:00:00 AM,1/1/2020 1:47:43 AM,6013,6463,208
445,1/1/2020 12:00:00 AM,1/1/2020 1:47:59 AM,5803,6479,1155
285,1/1/2020 12:00:00 AM,1/1/2020 1:48:45 AM,6345,6525,692
326,1/1/2020 12:00:00 AM,1/1/2020 1:50:49 AM,6448,6649,797
153,1/1/2020 12:00:00 AM,1/1/2020 1:50:55 AM,6440,6655,362
60,1/1/2020 12:00:00 AM,1/1/2020 1:51:15 AM,5833,6675,140
737,1/1/2020 12:00:00 AM,1/1/2020 1:51:55 AM,6500,6715,2457
508,1/1/2020 12:00:00 AM,1/1/2020 1:51:56 AM,5706,6716,1354
626,1/1/2020 12:00:00 AM,1/1/2020 1:52:28 AM,6630,6748,1817
192,1/1/2020 12:00:00 AM,1/1/2020 1:52:32 AM,6331,6752,451
612,1/1/2020 12:00:00 AM,1/1/2020 1:52:36 AM,6610,6756,1770
15,1/1/2020 12:00:00 AM,1/1/2020 1:52:42 AM,5698,6762,35
449,1/1/2020 12:00:00 AM,1/1/2020 1:52:54 AM,6507,6774,1169
577,1/1/2020 12:00:00 AM,1/1/2020 1:54:04 AM,6580,6844,1629
400,1/1/2020 12:00:00 AM,1/1/2020 1:54:36 AM,6070,6876,1012
681,1/1/2020 12:00:00 AM,1/1/2020 1:54:41 AM,6623,6881,2093
141,1/1/2020 12:00:00 AM,1/1/2020 1:54:54 AM,6370,6894,329
146,1/1/2020 12:00:00 AM,1/1/2020 1:55:58 AM,6543,6958,344
118,1/1/2020 12:00:00 AM,1/1/2020 1:56:25 AM,6478,6985,272
377,1/1/2020 12:00:00 AM,1/1/2020 1:57:02 AM,6277,7022,943
103,1/1/2020 12:00:00 AM,1/1/2020 1:59:23 AM,6527,7163,239
287,1/1/2020 12:00:00 AM,1/1/2020 1:59:32 AM,6937,7172,698
186,1/1/2020 12:00:00 AM,1/1/2020 1:59:45 AM,6919,7185,436
339,1/1/2020 12:00:00 AM,1/1/2020 1:59:52 AM,6791,7192,839
11,1/1/2020 12:00:00 AM,1/1/2020 1:59:56 AM,6610,7196,24
35,1/1/2020 12:00:00 AM,1/1/2020 2:00:03 AM,6305,7203,82
354,1/1/2020 12:00:00 AM,1/1/2020 2:00:10 AM,7013,7210,887
412,1/1/2020 12:00:00 AM,1/1/2020 2:00:36 AM,6488,7236,1053
72,1/1/2020 12:00:00 AM,1/1/2020 2:01:13 AM,6766,7273,168
13,1/1/2020 12:00:00 AM,1/1/2020 2:01:15 AM,6536,7275,29
451,1/1/2020 12:00:00 AM,1/1/2020 2:01:40 AM,6539,7300,1173
59,1/1/2020 12:00:00 AM,1/1/2020 2:01:44 AM,6750,7304,138
319,1/1/2020 12:00:00 AM,1/1/2020 2:02:12 AM,6791,7332,780
581,1/1/2020 12:00:00 AM,1/1/2020 2:05:51 AM,6876,7551,1648
427,1/1/2020 12:00:00 AM,1/1/2020 2:06:29 AM,6774,7589,1105
499,1/1/2020 12:00:00 AM,1/1/2020 2:07:17 AM,6731,7637,1328
281,1/1/2020 12:00:00 AM,1/1/2020 2:07:47 AM,7004,7667,683
546,1/1/2020 12:00:00 AM,1/1/2020 2:07:52 AM,7082,7672,1507
78,1/1/2020 12:00:00 AM,1/1/2020 2:09:23 AM,7021,7763,182
730,1/1/2020 12:00:00 AM,1/1/2020 2:09:59 AM,7674,7799,2413
654,1/1/2020 12:00:00 AM,1/1/2020 2:10:11 AM,7202,7811,1953
599,1/1/2020 12:00:00 AM,1/1/2020 2:10:47 AM,7372,7847,1720
99,1/1/2020 12:00:00 AM,1/1/2020 2:11:59 AM,7071,7919,230
185,1/1/2020 12:00:00 AM,1/1/2020 2:12:05 AM,7173,7925,434
43,1/1/2020 12:00:00 AM,1/1/2020 2:12:07 AM,6528,7927,101
249,1/1/2020 12:00:00 AM,1/1/2020 2:12:49 AM,7294,7969,592
474,1/1/2020 12:00:00 AM,1/1/2020 2:13:30 AM,7530,8010,1246
46,1/1/2020 12:00:00 AM,1/1/2020 2:13:43 AM,7072,8023,107
571,1/1/2020 12:00:00 AM,1/1/2020 2:14:07 AM,7655,8047,1610
634,1/1/2020 12:00:00 AM,1/1/2020 2:14:13 AM,7561,8053,1856
3,1/1/2020 12:00:00 AM,1/1/2020 2:14:30 AM,7316,8070,6
111,1/1/2020 12:00:00 AM,1/1/2020 2:14:47 AM,7607,8087,257
277,1/1/2020 12:00:00 AM,1/1/2020 2:15:19 AM,7774,8119,669
415,1/1/2020 12:00:00 AM,1/1/2020 2:15:25 AM,7410,8125,1062
594,1/1/2020 12:00:00 AM,1/1/2020 2:15:29 AM,7454,8129,1699
538,1/1/2020 12:00:00 AM,1/1/2020 2:15:43 AM,7143,8143,1476
202,1/1/2020 12:00:00 AM,1/1/2020 2:15:58 AM,7459,8158,483
